slang,formal
let,
level,
lewat,
lewati,
lewatkan,
lg,lagi
lgsng,langsung
lho,loh
liberal,
licik,
lihat,
lima,
lindung,
lindungan,
lingkaran,
lingkungan,
litbang,
live,
lndonesia,
lngsng,langsung
lo,kamu
loe,kamu
logika,
logis,
loh,
lolos,
lontong,
loo,kamu
lord,raja
love,
loyal,
lu,kamu
luar,
luarnya,
luas,
lucu,
luh,kamu
luhh,kamu
luhur,
lukas,
lulus,
lumayan,
lumrah,
luntang,
luntung,
lupa,
lur,bro
lurah,
maaf,
maasyaa,masya
mabuk,
macam,
macan,
mafia,
mah,
mahal,
maharani,
mahfud,
main,
mainan,
mainin,
mainstream,
majelis,
majemuk,
maju,
majukan,
majunya,
mak,ibu
maka,
makan,
makanan,
makanya,
makassar,
maker,
maki,
makin,
maksa,
maksiat,
maksud,
maksudnya,
malah,
malam,
malang,
malas,
mall,
malu,
mamajukan,
mamat,
mampu,
mampuan,
mana,
manapun,
mandalika,
mandatory,
mandir,
mandiri,
maneh,kamu
mangkanya,
manifestasi,
mantab,mantap
mantan,
mantap,
mantapkan,
mantuuuul,mantap
manual,
manusia,
manut,nurut
manuver,
manuvernya,
manyukai,
manyun,
mar,
marah,
march,
mardigu,
mari,
marilah,
markhotopp,mantap
markotop,mantap
marusak,merusak
mas,
masa,
masak,
masal,
masalah,
masalahnya,
masalalu,
masebiet,
mashaallah,
masif,
masih,
masiku,
masing,
masiv,
masjid,
massa,
massanya,
masuk,
masuknya,
masyarakat,
mata,
materi,
mati,
matian,
matic,
matipun,
maturnuwun,
mau,
maunya,
maupun,
mayat,
mayoritas,
mbak,
mbok,
md,
means,
medan,
media,
medsos,
mega,
mejadii,menjadi
mekanisme,
melaksanakan,
melakukan,
melalui,
melampaui,
melanggengkan,
melanjutkan,
melawan,
melebihi,
melejit,
melemahkan,
melepaskan,
meleset,
melihat,
melihatnya,
melindungi,
melintang,
melobi,
melontarkan,
melukai,
melulu,
melunasi,
melupakan,
meluruskan,
memaafkan,
memahaminya,
memajang,
memajukan,
memakai,
memaksa,
memalsukan,
memalukan,
memamkai,
memanfaatkan,
memang,
memanggil,
memangkas,
memangnya,
membaca,
membahayakan,
membahu,
membangun,
membantu,
membawa,
membayar,
membeberkan,
membekas,
membenci,
membendung,
membentuk,
memberi,
memberikan,
membesar,
membicarakan,
membuat,
membuka,
membuktikan,
membully,
membumi,
membutuhkan,
memcalonkan,
memecah,
memenangkan,
memenangkn,memenangkan
memenuhi,
memfitnah,
memikat,
memikirkan,
memilih,
memiliki,
memilikinya,
memimpin,
meminjam,
meminta,
memperbaiki,
memperbesar,
memperhatikan,
memperjelas,
memperjuangkan,
memperkenalkan,
memperkuat,
memperoleh,
mempertanyakan,
mempromosikan,
mempunyai,
memuji,
memukul,
memulai,
memunculkan,
memungkinkan,
memutuskan,
men,
menaikan,
menampak,
menampakkan,
menancapkan,
menandakan,
menang,
menanggung,
menangkan,
menanti,
menantu,
menarik,
menawarkan,
menayangkan,
mencaci,
mencalokan,
mencalon,
mencalonkan,
mencalonkannya,
mencapai,
mencapreskan,
mencari,
mencegah,
mencemarkan,
mencermati,
mencetak,
mencintai,
menciptakan,
mencoba,
mencounter,
mencuri,
mendaftarkan,
mendagri,
mendampingi,
mendampinginya,
mendapat,
mendapatkan,
mendarah,
mendatang,
mendaulat,
mendekati,
mendeklarasikan,
mendengar,
menderita,
mendin,mending
mending,
mendingan,
mendiskusikan,
mendongkrak,
mendorong,
mendukung,
mendungu,
menebarkan,
menekan,
menelan,
menemui,
menemukan,
menentang,
menentukan,
menepati,
menerapkan,
menerima,
menerus,
meneruskan,
menetapkan,
menetes,
menewaskan,
meng,
mengabaikan,
mengabulkan,
mengacak,
mengaco,
mengadakan,
mengajak,
mengajukan,
mengakak,
mengakhiri,
mengaku,
mengalah,
mengalahkan,
mengalami,
mengalihkan,
mengangkat,
mengantikan,
menganut,
mengapa,
mengapresiasi,
mengasih,
mengatakan,
mengatasi,
mengatur,
mengawal,
mengedepankan,
mengejek,
mengekor,
mengelola,
mengema,
mengenai,
mengendalikan,
mengerami,
mengerti,
mengetahui,
mengganggu,
mengganti,
menggantikan,
menggelontorkan,
menggeser,
menggiring,
menggonggong,
menggoreng,
menghadapi,
menghadapinya,
menghalanginya,
menghalu,menghalusinasi
menghanncurkan,
menghantam,
mengharamkan,
menghargai,
menghasut,
menghendaki,
menghibur,
menghina,
menghindar,
menghitung,
menghubungi,
menghujat,
