id	date	tweet
1.59E+18	2022-10-30 14:19:07+00:00	"@geloraco Semoga Pak Mahfud MD setuju seperti Saya setuju bahwa Pak Anies Rasyid Baswedan adalah calon Presiden yang benar tersebut,.CIPTAKAN DEMOKRASI SEHAT JURDIL UCAPKAN : YANG SETUJU : INSYAALLAH / YA YANG TAK SETUJU : TIDAK"
1.59E+18	2022-10-30 13:30:53+00:00	"@azwarsiregar Saya dukung sepenuhnya Pak Prabowo menjadi Calon Presiden. Semoga sukses. Insyaa Allaah Pak Anies yg menjabat Presiden selanjutnya"
1.59E+18	2022-10-30 13:01:08+00:00	"@aindraku @aniesbaswedan @aheryawan Sepeda berjalan sampai ke Penjaringan Berputar balik sampai ke Pasar Senen Kang Aher pasangan yg punya banyak kelebihan Jadi pendamping istri ataupun pendamping calon presiden ~cakeeep~ (Pantunnya Anies lho ini)"
1.59E+18	2022-10-30 12:49:32+00:00	"Pilihan sekarang utk 10 th yad. Mau menang pada pilpres, pileg, &amp; berkuasa min.5 thn atau ""cuma mau jd CALON WAKIL PRESIDEN, kalah, &amp; tdk jd apa2 selama 5 th""? Now or never! Terserah! @aniesbaswedan @aheryawan @AgusYudhoyono @PDemokrat @PKSejahtera @NasDem"
1.59E+18	2022-10-30 12:44:32+00:00	Mudahan prabowo dan muhaimin resmi jadi calon presiden dan wakil presiden 2024. Pilihan saya dan sekeluarga tetap pilih anies baswedan jadi presiden RI 2024😀
1.59E+18	2022-10-30 09:46:33+00:00	@mayasiska26 @tvOneNews ANIES BASWEDAN TETAP YG TERBAIK UNTUK CALON PRESIDEN RI PERIODE 2024 -2029 LANJUT 2029 - 2034. 2 PERIODE TITIK
1.59E+18	2022-10-30 06:17:54+00:00	"@Santo09054972 @aniesbaswedan @PKSejahtera @NasDem @PDemokrat Dukungan terhadap Anies Baswedan utk maju jadi capres 2024 mirip dg dukungan dan harapan masyarakat pada Prabowo Subianto pada pemilu 2019 dulu😊 Sekedar mengingatkan siapapun calon presiden Indonesia nanti, dan siapapun yang terpilih menjadi presiden janganlah terlalu berharap"
1.59E+18	2022-10-30 05:50:48+00:00	"@siagiansulben Orang cerdas di kandang Ganjar past pilih Anies.Gak mungkin orang cerdas pilih Calon Presiden yang suka Nonton Vidio Bokep.Kasihan massa depan Bangsa Indonesia bercerai berai karna ulahnya para politikus cari muka ,jabatan dan kursi."
1.59E+18	2022-10-30 04:08:30+00:00	"@Swarga15 Pasangan Anies calon Presiden cocoknya calon Wapresnya salah satu dari 3 nama ini ya : SS, SBY, JK 😅😅😅🙈🙈🙈. Aku yakin PKS gak mau ikut2an!"
1.59E+18	2022-10-30 03:45:21+00:00	"@putri_Aalona Betul Anies Baswedan itu sekarang rakyat biasa yg menjadi calon Presiden, semoga - in sya Allah - 2024 menjadi Presiden"
1.59E+18	2022-10-30 03:15:37+00:00	"@_melody_mellow @jaga_atitude @na_inblack @yaniarsim @Aby_zaky_ @AisyahBocah @Aliffqu @aLKecildew @annourcharity @Sambo_Kaisar @abahnanisa Calon presiden yg selalu tau filosofi dr sebuah keadaan ..Dan menerapkan pada kehidupan... Beda jauh ........lah Menanti Anies for 2024 INSHAALLAH setelah ada restu dr IBHRS"
1.59E+18	2022-10-30 01:50:33+00:00	"@tatakujiyati Semoga mayoritas tidak terpedaya lagi oleh calon Presiden rekayasa dan Inkompetensi,tapi bisa memilih Sosok Yg teruji dan benar2 berkualitas seperti Anies Baswedan"
1.59E+18	2022-10-30 00:20:23+00:00	@SemutMerah2024 @aniesbaswedan @AgusYudhoyono Di tahun 2014 malah ada kademisi yg mempromosikan calon presiden yang jauh menuju kemajuan
1.59E+18	2022-10-29 16:07:46+00:00	"@caul_tanjung Prabowo tidak mungkin bisa Jadi presiden.Massanya sudah lewat,Secara Nasional Anies lebih unggul,yang sekar bersaing ketat dgn Ganjar calon dari suku Jawa. Masyarakat pulau Jawa msh menginginkan,Presiden  orang dari suku Jawa."
1.59E+18	2022-10-29 11:43:36+00:00	"@HelmiFelis_ Loe ngomong spt orang mabuk.. tanpa data asal bacot.. dasar sinting.. kalo anies ndak jd calon presiden krn tdk memenuhi PT 20%, bisa gika loe... !!!"
1.59E+18	2022-10-29 11:37:43+00:00	@PartaiSocmed Siapapun calon nya @aniesbaswedan presiden nya 😀😀🙏
1.59E+18	2022-10-29 10:30:04+00:00	"@Annisa_1193 @HusnulPendamba Anies memang memiliki kecerdasan yang kredibel,tapi ingat kekentalan suku Jawa lebih dominan memenangkan Ganjar calon Presiden dari suku jawa.Analisa saya Indonesia pasti di pimpin lagi oleh orang dari suku Jawa.Orang dari suku lain sabar dulu ya?"
